 [-1.19592929e-02  6.70169148e+00]
 [-1.19540997e-02  6.71645292e+00]
 [-1.19476522e-02  6.73121435e+00]
 [-1.19419713e-02  6.74597579e+00]
 [-1.19356562e-02  6.76073722e+00]
 [-1.19294034e-02  6.77549866e+00]
 [-1.19229145e-02  6.79026009e+00]
 [-1.19162027e-02  6.80502153e+00]
 [-1.19098233e-02  6.81978296e+00]
 [-1.19040576e-02  6.83454440e+00]
 [-1.18975222e-02  6.84930583e+00]
 [-1.18923947e-02  6.86406727e+00]
 [-1.18869151e-02  6.87882870e+00]
 [-1.18803182e-02  6.89359014e+00]
 [-1.18742529e-02  6.90835157e+00]
 [-1.18662237e-02  6.92311301e+00]
 [-1.18605513e-02  6.93787444e+00]
 [-1.18543352e-02  6.95263588e+00]
 [-1.18468620e-02  6.96739731e+00]
 [-1.18392649e-02  6.98215875e+00]
 [-1.18322598e-02  6.99692018e+00]
 [-1.18253282e-02  7.01168162e+00]
 [-1.18172765e-02  7.02644305e+00]
 [-1.18096864e-02  7.04120449e+00]
 [-1.18014943e-02  7.05596592e+00]
 [-1.17932978e-02  7.07072736e+00]
 [-1.17849551e-02  7.08548879e+00]
 [-1.17766064e-02  7.10025023e+00]
 [-1.17678806e-02  7.11501166e+00]
 [-1.17585409e-02  7.12977310e+00]
 [-1.17498880e-02  7.14453453e+00]
 [-1.17411344e-02  7.15929596e+00]
 [-1.17315387e-02  7.17405740e+00]
 [-1.17220679e-02  7.18881883e+00]
 [-1.17122020e-02  7.20358027e+00]
 [-1.17022809e-02  7.21834170e+00]
 [-1.16922381e-02  7.23310314e+00]
 [-1.16820766e-02  7.24786457e+00]
 [-1.16702122e-02  7.26262601e+00]
 [-1.16607456e-02  7.27738744e+00]
 [-1.16508213e-02  7.29214888e+00]
 [-1.16392783e-02  7.30691031e+00]
 [-1.16280653e-02  7.32167175e+00]
 [-1.16171329e-02  7.33643318e+00]
 [-1.16059945e-02  7.35119462e+00]
 [-1.15929099e-02  7.36595605e+00]
 [-1.15825832e-02  7.38071749e+00]
 [-1.15711795e-02  7.39547892e+00]
 [-1.15587490e-02  7.41024036e+00]
 [-1.15467853e-02  7.42500179e+00]
 [-1.15343780e-02  7.43976323e+00]
 [-1.15213682e-02  7.45452466e+00]
 [-1.15080043e-02  7.46928610e+00]
 [-1.14965327e-02  7.48404753e+00]
 [-1.14838776e-02  7.49880897e+00]
 [-1.14705817e-02  7.51357040e+00]
 [-1.14574655e-02  7.52833184e+00]
 [-1.14439938e-02  7.54309327e+00]
 [-1.14284646e-02  7.55785471e+00]
 [-1.14162656e-02  7.57261614e+00]
 [-1.14033465e-02  7.58737758e+00]
 [-1.13887027e-02  7.60213901e+00]
 [-1.13752965e-02  7.61690045e+00]
 [-1.13605110e-02  7.63166188e+00]
 [-1.13465060e-02  7.64642332e+00]
 [-1.13318139e-02  7.66118475e+00]
 [-1.13172868e-02  7.67594619e+00]
 [-1.13025784e-02  7.69070762e+00]
 [-1.12879863e-02  7.70546906e+00]
 [-1.12730800e-02  7.72023049e+00]
 [-1.12580842e-02  7.73499193e+00]
 [-1.12430077e-02  7.74975336e+00]
 [-1.12264872e-02  7.76451480e+00]
 [-1.12117202e-02  7.77927623e+00]
 [-1.11974354e-02  7.79403767e+00]
